ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,NAME_EN
1110,48.47573,20.48687,Natural,"Hungary,Slovakia",Europe and North America,Caves of Aggtelek Karst and Slovak Karst
1111,45.88888889,8.913888889,Natural,"Italy,Switzerland",Europe and North America,Monte San Giorgio
1112,46.49833333,9.846388889,Cultural,"Italy,Switzerland",Europe and North America,Rhaetian Railway in the Albula / Bernina Landscapes
878,40.34389,-1.10722,Cultural,Spain,Europe and North America,Mudejar Architecture of Aragon
879,39.86688889,-4.029416667,Cultural,Spain,Europe and North America,Historic City of Toledo
880,28.12625,-17.23722222,Natural,Spain,Europe and North America,Garajonay National Park
881,40.96525,-5.6645,Cultural,Spain,Europe and North America,Old City of Salamanca
882,37.38384,-5.99155,Cultural,Spain,Europe and North America,"Cathedral, Alcázar and Archivo de Indias in Seville"
883,39.47444,-6.37,Cultural,Spain,Europe and North America,Old Town of Cáceres
884,38.91113889,1.435194444,Mixed,Spain,Europe and North America,"Ibiza, Biodiversity and Culture"
885,41.38083,1.0825,Cultural,Spain,Europe and North America,Poblet Monastery
1008,55.66333333,-3.783055556,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,New Lanark
1009,-24.36666667,-128.3333333,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Henderson Island
1010,51.50805556,-0.076111111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Tower of London
1011,51.28,1.083333333,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church"
1012,58.99605556,-3.188666667,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Heart of Neolithic Orkney
1013,55.95,-3.216666667,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Old and New Towns of Edinburgh
1014,-40.32472222,-9.928611111,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Gough and Inaccessible Islands
1015,51.48116667,-0.003777778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Maritime Greenwich
1113,0,0,Natural,"Kazakhstan,Kyrgyzstan,Uzbekistan",Asia and the Pacific,Western Tien-Shan
1114,-29.76527778,29.12305556,Mixed,"Lesotho,South Africa",Africa,Maloti-Drakensberg Park
1115,55.27458,20.96239,Cultural,"Lithuania,Russian Federation",Europe and North America,Curonian Spit
1116,49.53388889,21.03222222,Cultural,"Poland,Ukraine",Europe and North America,Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine
1117,40.6975,-6.661111111,Cultural,"Portugal,Spain",Europe and North America,Prehistoric Rock Art Sites in the Côa Valley and Siega Verde
886,38.01131,-3.37122,Cultural,Spain,Europe and North America,Renaissance Monumental Ensembles of ÿbeda and Baeza
887,38.91611,-6.33778,Cultural,Spain,Europe and North America,Archaeological Ensemble of Mérida
888,39.45285,-5.3275,Cultural,Spain,Europe and North America,Royal Monastery of Santa María de Guadalupe
889,43.335,-6.414722222,Cultural,Spain,Europe and North America,Routes of Santiago de Compostela: <i>Camino Francés</i> and Routes of Northern Spain
890,36.9477,-6.358861,Natural,Spain,Europe and North America,Doñana National Park
891,40.07662,-2.13174,Cultural,Spain,Europe and North America,Historic Walled Town of Cuenca
892,39.47441667,-0.378444444,Cultural,Spain,Europe and North America,La Lonja de la Seda de Valencia
893,42.46939,-6.77075,Cultural,Spain,Europe and North America,Las Médulas
1016,32.37944444,-64.67777778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"Historic Town of St George and Related Fortifications, Bermuda"
1017,51.77638889,-3.088055556,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Blaenavon Industrial Landscape
1018,53.83916667,-1.788333333,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Saltaire
1019,50.70555556,-2.989888889,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Dorset and East Devon Coast
1020,53.02888889,-1.488055556,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Derwent Valley Mills
1021,51.48194444,-0.294027778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"Royal Botanic Gardens, Kew"
1118,50.275,92.71972222,Natural,"Russian Federation,Mongolia",Europe and North America,Uvs Nuur Basin
1119,49.93022222,115.4254444,Natural,"Russian Federation,Mongolia",Europe and North America,Landscapes of Dauria
1120,38.77527778,-4.838888889,Cultural,"Slovenia,Spain",Europe and North America,Heritage of Mercury. Almadén and Idrija
1121,-17.92453,25.85539,Natural,"Zambia,Zimbabwe",Africa,Mosi-oa-Tunya / Victoria Falls
894,41.38778,2.175,Cultural,Spain,Europe and North America,"Palau de la Música Catalana and Hospital de Sant Pau, Barcelona"
895,42.32586,-2.86496,Cultural,Spain,Europe and North America,San Millán Yuso and Suso Monasteries
896,39.78995,-1.03331,Cultural,Spain,Europe and North America,Rock Art of the Mediterranean Basin on the Iberian Peninsula
897,41.11472222,1.259305556,Cultural,Spain,Europe and North America,Archaeological Ensemble of Tárraco
898,40.48138889,-3.368055556,Cultural,Spain,Europe and North America,University and Historic Precinct of Alcalá de Henares
899,28.47788889,-16.31177778,Cultural,Spain,Europe and North America,San Cristóbal de La Laguna
1022,53.40666667,-2.994444444,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Liverpool ⿿ Maritime Mercantile City
1023,50.13611111,-5.383611111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cornwall and West Devon Mining Landscape
1024,52.97027778,-3.087777778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Pontcysyllte Aqueduct and Canal
1025,56.00111111,-3.388888889,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,The Forth Bridge
1026,36.12266944,-5.342061111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Gorham's Cave Complex
1027,53.23391667,-2.303861111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Jodrell Bank Observatory
900,38.26666667,-0.716666667,Cultural,Spain,Europe and North America,Palmeral of Elche
901,43.01111,-7.55333,Cultural,Spain,Europe and North America,Roman Walls of Lugo
902,42.50472222,0.803611111,Cultural,Spain,Europe and North America,Catalan Romanesque Churches of the Vall de Boí
903,42.37138889,-3.547222222,Cultural,Spain,Europe and North America,Archaeological Site of Atapuerca
904,40.03645,-3.60934,Cultural,Spain,Europe and North America,Aranjuez Cultural Landscape
905,43.323175,-3.016833333,Cultural,Spain,Europe and North America,Vizcaya Bridge
906,28.27138889,-16.64361111,Natural,Spain,Europe and North America,Teide National Park
1028,-3.18722,35.54083,Mixed,United Republic of Tanzania,Africa,Ngorongoro Conservation Area
1029,-8.95778,39.52278,Cultural,United Republic of Tanzania,Africa,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara
1030,-2.33333,34.56667,Natural,United Republic of Tanzania,Africa,Serengeti National Park
1031,-6.16306,39.18917,Cultural,United Republic of Tanzania,Africa,Stone Town of Zanzibar
1032,-9,37.4,Natural,United Republic of Tanzania,Africa,Selous Game Reserve
1033,-3.06667,37.36667,Natural,United Republic of Tanzania,Africa,Kilimanjaro National Park
1034,-4.724444444,35.83388889,Cultural,United Republic of Tanzania,Africa,Kondoa Rock-Art Sites
1035,37.26166667,-108.4855556,Cultural,United States of America,Europe and North America,Mesa Verde National Park
1036,44.46056,-110.82778,Natural,United States of America,Europe and North America,Yellowstone National Park
1037,36.10083333,-112.0905556,Natural,United States of America,Europe and North America,Grand Canyon National Park
907,43.38583333,-8.406388889,Cultural,Spain,Europe and North America,Tower of Hercules
908,39.73083333,2.694722222,Cultural,Spain,Europe and North America,Cultural Landscape of the Serra de Tramuntana
909,37.025,-4.544444444,Cultural,Spain,Europe and North America,Antequera Dolmens Site
910,37.88588889,-4.867694444,Cultural,Spain,Europe and North America,Caliphate City of Medina Azahara
911,28.04438889,-15.66119444,Cultural,Spain,Europe and North America,Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape
912,8.333333333,80.38333333,Cultural,Sri Lanka,Asia and the Pacific,Sacred City of Anuradhapura
913,7.915833333,81.00055556,Cultural,Sri Lanka,Asia and the Pacific,Ancient City of Polonnaruwa
914,7.95,80.75,Cultural,Sri Lanka,Asia and the Pacific,Ancient City of Sigiriya
915,6.416666667,80.5,Natural,Sri Lanka,Asia and the Pacific,Sinharaja Forest Reserve
916,7.293611111,80.64027778,Cultural,Sri Lanka,Asia and the Pacific,Sacred City of Kandy
1038,25.55444444,-80.99638889,Natural,United States of America,Europe and North America,Everglades National Park
1039,39.94861111,-75.15,Cultural,United States of America,Europe and North America,Independence Hall
1040,41.37388889,-123.9980556,Natural,United States of America,Europe and North America,Redwood National and State Parks
1041,37.18722222,-86.10305556,Natural,United States of America,Europe and North America,Mammoth Cave National Park
1042,47.74833333,-123.4488889,Natural,United States of America,Europe and North America,Olympic National Park
1043,38.65861111,-90.06138889,Cultural,United States of America,Europe and North America,Cahokia Mounds State Historic Site
1044,35.59305556,-83.43555556,Natural,United States of America,Europe and North America,Great Smoky Mountains National Park
1045,18.46666667,-66.125,Cultural,United States of America,Europe and North America,La Fortaleza and San Juan National Historic Site in Puerto Rico
1046,40.68944444,-74.04472222,Cultural,United States of America,Europe and North America,Statue of Liberty
1048,36.06377778,-107.9708333,Cultural,United States of America,Europe and North America,Chaco Culture
1049,19.40083333,-155.1236111,Natural,United States of America,Europe and North America,Hawaii Volcanoes National Park
917,6.021388889,80.21861111,Cultural,Sri Lanka,Asia and the Pacific,Old Town of Galle and its Fortifications
918,7.856666667,80.64916667,Cultural,Sri Lanka,Asia and the Pacific,Golden Temple of Dambulla
919,7.45245,80.8021,Natural,Sri Lanka,Asia and the Pacific,Central Highlands of Sri Lanka
920,19.73611111,37.44305556,Natural,Sudan,Arab States,Sanganeb Marine National Park and Dungonab Bay ⿿ Mukkawar Island Marine National Park
921,18.537,31.82802778,Cultural,Sudan,Arab States,Gebel Barkal and the Sites of the Napatan Region
922,16.93333333,33.71666667,Cultural,Sudan,Arab States,Archaeological Sites of the Island of Meroe
923,5.82611,-55.15,Cultural,Suriname,Latin America and the Caribbean,Historic Inner City of Paramaribo
1050,38.03277778,-78.50388889,Cultural,United States of America,Europe and North America,Monticello and the University of Virginia in Charlottesville
